joke,comedian,rewritten_joke
Why don't scientists trust atoms? They make up everything!,Jerry Seinfeld,"What's the deal with atoms? Scientists don't trust 'em. I mean, they make up everything! It's like, hey atom, pick a side already!"
What do you call a fake noodle? An impasta!,Mitch Hedberg,"I used to eat pasta. I still do, but I used to, too. And if you ever come across a fake noodle, that's what I call an impasta. It's like pasta's evil twin."
Why did the scarecrow win an award? He was outstanding in his field!,Rodney Dangerfield,"I tell ya, this scarecrow gets no respect. He wins an award and everyone's like, 'Oh, he was just outstanding in his field.' Yeah, where else would he be? At the bar?"
Why don't eggs tell jokes? They'd crack each other up!,Amy Schumer,"Eggs, man. They're like the introverts of the breakfast world. They don't tell jokes 'cause they'd crack each other up. It's like, we get it, you're fragile."
How do you organize a space party? You planet!,George Carlin,"So you wanna throw a space party, huh? Well, you better planet carefully. And don't forget to invite the Milky Way - I hear it's a real gas!"
Why don't skeletons fight each other? They don't have the guts!,Robin Williams,"Skeletons, man! They're always rattling on about something. But fight? Nah, they don't have the guts. It's like they're afraid they'll get boned!"
What do you call a can opener that doesn't work? A can't opener!,Steven Wright,"I bought a can opener the other day. Turns out it doesn't work. So I guess it's a can't opener. I tried to return it, but the store had a no-can't-opener return policy."
Why did the math book look so sad? Because it had too many problems!,Ellen DeGeneres,"You ever see a math book looking all sad and depressed? It's because it's got too many problems. I mean, come on, even therapists don't have that many issues to deal with!"
What do you call a bear with no teeth? A gummy bear!,Jim Gaffigan,"So there's this bear, right? But he's got no teeth. It's like, congratulations, you're now a gummy bear. Hope you like soft foods and disappointment."
Why did the cookie go to the doctor? Because it was feeling crumbly!,Sarah Silverman,"This cookie walks into a doctor's office, right? Says it's feeling crumbly. Doctor's like, 'Well, stop hanging out in milk, you idiot!' Cookies, man, they never learn."